County,,Population Health,,Equity,,Education,,Economy,,Housing,,Food & Nutrition,,Environment,,Public Safety,,Community Vitality,,Infrastructure
Routt County,,95.1,,57,,62.6,,76,,62.3,,69.5,,88.9,,70.1,,71.1,,89.1
Saguache County,,52.7,,50.3,,33.4,,37.6,,26.2,,70.5,,90,,48.7,,71.9,,54.6
San Juan County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
San Miguel County,,89.5,,41.6,,86.2,,69.1,,34.5,,94.6,,90.9,,79.4,,66.6,,80.7
Sedgwick County,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A,,N/A
Summit County,,96.4,,50.9,,74.4,,76.1,,32.8,,67.7,,100,,78.3,,61.1,,93.1
,,,,,,,,,,,,,,,,,,,,
Teller County,,76.1,,76.5,,35.7,,64.7,,51.5,,72.9,,98.5,,74.2,,79.3,,59.5
Washington County,,75.1,,52.4,,35.7,,51.4,,66.1,,41.6,,69.4,,53.5,,58.9,,45.5
Weld County,,73.8,,36.9,,45.5,,75.1,,60.8,,55.1,,50.6,,61,,63,,71.1
Yuma County,,79.1,,50.3,,24.3,,52.2,,55.8,,59.1,,73.6,,74.1,,48.5,,70.4
